Abandon,Verb,يتخلى,Do not abandon your goals.
Abide,Verb,يلتزم,You must abide by the rules.
Abnormal,Adjective,غير طبيعي,An abnormal change in weather.
Abrupt,Adjective,مفاجئ,The car made an abrupt stop.
Absorb,Verb,يمتص,Sponges absorb water easily.
Abstract,Adjective,مجرد/نظري,An abstract painting.
Absurd,Adjective,سخيف,An absurd idea.
Abundant,Adjective,وفير,Abundant natural resources.
Accelerate,Verb,يتسارع,The car began to accelerate.
Acceptable,Adjective,مقبول,An acceptable answer.
Access,Noun,وصول,Access the computer files.
Acclaim,Noun,تصفيق/ثناء,Won critical acclaim.
Accommodate,Verb,يستوعب,The room can accommodate many.
Accompany,Verb,يُرافق,Please accompany me.
Accomplish,Verb,ينجز,Accomplish your mission.
Accountable,Adjective,مسؤول,Be accountable for your actions.
Accurate,Adjective,دقيق,An accurate report.
Accuse,Verb,يتهم,Don't accuse without proof.
Acknowledge,Verb,يعترف,Acknowledge your success.
Acquire,Verb,يكتسب,Acquire new habits.
Acquit,Verb,يبرئ,The court will acquit him.
Adapt,Verb,يتكيف,Adapt to new environments.
Addict,Noun/Verb,مدمن/يدمن,Don't addict to video games.
Adequate,Adjective,كافٍ,An adequate supply of food.
Adhere,Verb,يلتصق/يتمسك,Adhere to the plan.
Adjacent,Adjective,مجاور,The adjacent building.
Adjust,Verb,يعدل,Adjust the volume.
Admire,Verb,يعجب بـ,I admire your courage.
Admit,Verb,يعترف,Admit the mistake.
Adopt,Verb,يتبنى,Adopt a new pet.
Advance,Verb,يتقدم,Advance in your career.
Adverse,Adjective,معاكس/ضار,Adverse weather conditions.
Advocate,Verb,يدافع عن,Advocate for peace.
Affection,Noun,مودة,Show affection to friends.
Affirm,Verb,يؤكد,Affirm your commitment.
Afford,Verb,يتحمل تكلفة,Can you afford this?
Aggravate,Verb,يفاقم,Don't aggravate the situation.
Aggregate,Noun,مجموع,The aggregate score.
Aggressive,Adjective,عدواني,An aggressive player.
Agile,Adjective,رشيقة,An agile gymnast.
